"";"ApplicationNumber";"Mark";"MarkCurrentStatusCode";"ApplicationDate";"ExpiryDate";"DEPOSANT";"DEPOTIT";"MarkFeature";"url";"search";"FranceX";"depo";"titulaire"
"162";"3582319";"chambre de commerce et d&apos;industrie nord de france avesnes – cambrai – valenciennes";"Marque expirée";20080616;20180616;"chambre de commerce et d&apos;industrie de l&apos;arrondissement d&apos;avesnes etablissement public de l&apos;etat";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3582319";"France;EtablissementPublic";"[de|en|la] France";"chambre de commerce et d&apos;industrie de l&apos;arrondissement d&apos;avesnes etablissement public de l&apos;etat NA";"Etablissement public"
"163";"3573079";"france rail pass";"Marque renouvelée";20080430;20280430;"sncf mobilités, etablissement public à caractère industriel et commercial";"sncf voyageurs, société anonyme";"Combined";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3573079";"France;EtablissementPublic";"France X";"sncf mobilités, etablissement public à caractère industriel et commercial sncf voyageurs, société anonyme";"EPIC"
"164";"3573008";"france microcrédit";"Marque renouvelée";20080425;20280425;"caisse des dépôt et consignations, etablissement public";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3573008";"France;EtablissementPublic";"France X";"caisse des dépôt et consignations, etablissement public NA";"Etablissement public"
"165";"3573009";"www.france-microcredit.org";"Marque renouvelée";20080425;20280425;"caisse des dépôts et consignations, etablissement public";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3573009";"France;EtablissementPublic";"Autre France";"caisse des dépôts et consignations, etablissement public NA";"Etablissement public"
"166";"3556269";"université des vins de france";"Marque expirée";20080212;20180212;"université de perpignan etablissement public à caractère scientifique, culturel et professionnel";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3556269";"France;EtablissementPublic";"[de|en|la] France";"université de perpignan etablissement public à caractère scientifique, culturel et professionnel NA";"EPSCP"
"167";"3532507";"elfe grandir en france";"Marque expirée";20070920;20170920;"institut national d&apos;études démographiques etablissement publique à caractère scientifique et technologique ined service juridique,institut de veille sanitaire etablissement public";NA;"Combined";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3532507";"France;EtablissementPublic";"[de|en|la] France";"institut national d&apos;études démographiques etablissement publique à caractère scientifique et technologique ined service juridique,institut de veille sanitaire etablissement public NA";"Etablissement public"
"168";"3522951";"ftn france télé numérique";"Marque expirée";20070906;20170906;"france télé numérique groupement d&apos;intérêt public (gip)";"etat francais, represente par le directeur du service d&apos;information du gouvernement,agence nationale des frequences (anfr)";"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3522951";"France;EtatFrançais";"Autre France";"france télé numérique groupement d&apos;intérêt public (gip) etat francais, represente par le directeur du service d&apos;information du gouvernement,agence nationale des frequences (anfr)";"Etat Français"
"169";"3522952";"france télé numérique";"Marque expirée";20070906;20170906;"france télé numérique groupement d&apos;intérêt public (gip)";"etat francais, represente par le directeur du service d&apos;information du gouvernement,agence nationale des frequences (anfr)";"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3522952";"France;EtatFrançais";"France X";"france télé numérique groupement d&apos;intérêt public (gip) etat francais, represente par le directeur du service d&apos;information du gouvernement,agence nationale des frequences (anfr)";"Etat Français"
"170";"3509925";"académie de france à rome villa medici";"Marque renouvelée";20070531;20270531;"academie de france a rome, etablissement public à caractère administratif";NA;"Combined";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3509925";"France;EtablissementPublic";"[de|en|la] France";"academie de france a rome, etablissement public à caractère administratif NA";"EPA"
"171";"3506032";"agenda 21 local france";"Marque expirée";20070522;20170522;"etat français representé par le ministère de l&apos;ecologie, de l&apos;amenagement et du developpement durable";NA;"Combined";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3506032";"France;EtatFrançais";"X France";"etat français representé par le ministère de l&apos;ecologie, de l&apos;amenagement et du developpement durable NA";"Etat Français"
"172";"3446968";"montpellier management er – france";"Marque expirée";20060810;20160810;"groupe sup de co – cci de montpellier etablissement public,universite montpellier i etablissement public,universite montpellier ii etablissement public";NA;"Word";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3446968";"France;EtablissementPublic";"X France";"groupe sup de co – cci de montpellier etablissement public,universite montpellier i etablissement public,universite montpellier ii etablissement public NA";"Etablissement public"
"173";"3443702";"l&apos;artisanat première entreprise de france";"Marque renouvelée";20060731;20260731;"fonds national de promotion et de communication de l&apos;artisanat, etablissement public administratif";NA;"Combined";"https://api-gateway.inpi.fr/services/apidiffusion/api/marques/notice/FR3443702";"France;EtablissementPublic";"[de|en|la] France";"fonds national de promotion et de communication de l&apos;artisanat, etablissement public administratif NA";"EPA"
